"Address","Type","Is Gnosis Safe","Gnosis Safe Version","Owners Count","Threshold","Owners","Error"
0xaB13aFFB7E7B5f8102B05015da82d3F08d5Bd26D,Contract,Yes,1.4.1,1,1,0xB7C1c4A7a4792b947933AC6ED6A018502609177e,
0x5333Fb6807d9a0884F9527adAeD1195686675FBD,EOA,No,,,,,
0xaB13aFFB7E7B5f8102B05015da82d3F08d5Bd26D,Contract,Yes,1.4.1,1,1,0xB7C1c4A7a4792b947933AC6ED6A018502609177e,
0x56D4413b2568726b0D6E8fd78dCb015A483616d2,EOA,No,,,,,
0xbef8b517EedAEb151c8cb3A2C2E8961422859953,EOA,No,,,,,
0xfEb163F701656aEA55035e460E755241C17eD35d,EOA,No,,,,,
0x5C36Bd76a6c138187C43da92f66f37E23b4017fA,EOA,No,,,,,
0x9684fe1eC8829f72c9b6f4CF2ca81A1a81e8bff0,EOA,No,,,,,
0xfEb163F701656aEA55035e460E755241C17eD35d,EOA,No,,,,,
0x56D4413b2568726b0D6E8fd78dCb015A483616d2,EOA,No,,,,,
0x3A15461d8aE0F0Fb5Fa2629e9DA7D66A794a6e37,Contract,No,,,,,
0xbCeB3F95ddb64E30F79e6602d2E25B4F743219fa,EOA,No,,,,,
0x31C39682382924499E35f49ce19E05a4529BaCbB,EOA,No,,,,,
0xfEb163F701656aEA55035e460E755241C17eD35d,EOA,No,,,,,
0x48073d3aba3E9F210123d8Cecc1C48D306A3f0EA,EOA,No,,,,,
0x6243c53c6E3F0D02AC3aFe1CC27438f00635Aec6,EOA,No,,,,,
0xfEb163F701656aEA55035e460E755241C17eD35d,EOA,No,,,,,
0x5333Fb6807d9a0884F9527adAeD1195686675FBD,EOA,No,,,,,
0x6D32F58244a6C28BEE6282b6204E5477526D5991,EOA,No,,,,,
0x56D4413b2568726b0D6E8fd78dCb015A483616d2,EOA,No,,,,,
0xaB13aFFB7E7B5f8102B05015da82d3F08d5Bd26D,Contract,Yes,1.4.1,1,1,0xB7C1c4A7a4792b947933AC6ED6A018502609177e,
0x9684fe1eC8829f72c9b6f4CF2ca81A1a81e8bff0,EOA,No,,,,,
0xeCd960325d5FFd74262876FB36dc732f8d9c7b62,EOA,No,,,,,
0xf80f75dE3e46d07f8127BF0eb2631dA0AFc688d0,EOA,No,,,,,
0x6D32F58244a6C28BEE6282b6204E5477526D5991,EOA,No,,,,,
0x6D32F58244a6C28BEE6282b6204E5477526D5991,EOA,No,,,,,
0x4A82d527d85485bd5cC53e5dc39486d83a1ADeB5,EOA,No,,,,,
0xbCeB3F95ddb64E30F79e6602d2E25B4F743219fa,EOA,No,,,,,
0x9684fe1eC8829f72c9b6f4CF2ca81A1a81e8bff0,EOA,No,,,,,
0xe6e2baCdD7F423dCF748CC73011Df4A5Fa4783d2,EOA,No,,,,,
0xD4Cd39690eAfF30f0662fF35F7be5C57828983E4,Contract,Yes,1.3.0,1,1,0x467CED0f4151D7233ed1473BC9F7f14d745348c2,
0x48e239Fa0B364Cd92Fc750A50045c9f9E04DD781,EOA,No,,,,,
0xeCd960325d5FFd74262876FB36dc732f8d9c7b62,EOA,No,,,,,
0x82194E3eD47e349d3A8DE7225e6AF54FE7BE9069,EOA,No,,,,,
0x9684fe1eC8829f72c9b6f4CF2ca81A1a81e8bff0,EOA,No,,,,,
0xeCd960325d5FFd74262876FB36dc732f8d9c7b62,EOA,No,,,,,
0xF26EA6D6104bb623366Bb12eFABa92FBaeBfB732,EOA,No,,,,,
0x49E2a5d77Fa210403864f74e6556f17a8FcF70b3,EOA,No,,,,,
0xCDA54b665780c2B85Af03574b3466Ede6eFD55E0,EOA,No,,,,,
0x267a6073637408B6a1D34D685Ff5720a0cBCbd9D,Contract,Yes,1.3.0,5,3,0x9b4A9c1d30C831Dd17913B82372456BdD28E7C0C;0x8795C17d02AF912C3586D03228e0165e9fdDE526;0x7c6a8C1691ece0343a6b80AA00786fC09aa4DEd0;0x4aDD16F11Eb71DB07D64056b8E4E3E695BC599A8;0x3FFe6f2CDaB83215BC1336fF32a3575F569c5AE9,
0xf4694b507903977337883DD4517c0CB1d544Ab42,EOA,No,,,,,
0x1dA45683bd3ccd6f8308050d0D99c1ee7F761E5f,EOA,No,,,,,
0x6731B962e7fd2B1EC731bb17Be3B8B3544e18896,EOA,No,,,,,
0x97054841bE83be01871484D485Ba85FbE39980Db,EOA,No,,,,,
0xD599d8C61b4616b06bF28735E6d9Fc51D1Bc6fdE,EOA,No,,,,,
0xc277322A74D32c141696215058487e52B65145A2,EOA,No,,,,,
0xf068B5EbABf25f5FF69d21c8536b5a5a19C53A10,EOA,No,,,,,
0x399F56CD72CA88f3873b3698A395083A44a9A641,EOA,No,,,,,
0x7da4645403381B79a0197A2a11aCa73868c90E0b,EOA,No,,,,,
0xd9fcaE4315920387F00725c78285d6d41C30B967,EOA,No,,,,,
